;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;er;es;hand;hob;blick;seite;kopf;stadt;frau;boden;hände;trat;stand;trug;schlug;wirkte;arm;leise;dachte;körper;spürte;fest;glaubte;schatten;entgegen;führte;blut;paar;brust;fiel;tod;stellte;haut;rief;erkannte;lagen;fühlte;flüsterte;himmel;verstand;bitte;verlassen;brach;zuckte;wartete;jungen;land;zögerte;hals;dunkelheit;schwarzen;lächelte;entlang;wären;zeigte;fuß;blinzelte;gingen;voller;verstehe;sterben;bereit;erreichte;raum;geschehen;kamen;senkte;dach;stark;mannes;erkennen;gruppe;überrascht;ziel;folgten;männern;schlag;kehle;wenigen;heißt;verließ;toten;führen;dunklen;schwang;befehl;drang;berührte;trugen;tiere;stuhl;nahmen;erde;tragen;rollte;wellen;bringt;licht;hing;links
Topic 1;sie;es;er;männer;gesicht;hand;krieger;schiff;kind;bewegung;gefühl;tür;mutter;schwert;stück;geste;gott;rasch;antwort;weißt;angst;pferd;dennoch;hammer;kraft;vollkommen;schnee;deutete;götter;schritt;barend;irgendetwas;obwohl;murmelte;endgültig;fügte;wasser;großvater;rücken;vermutlich;sturm;schmerz;bruder;ufer;laut;dorf;diesmal;spürte;urds;dutzend;blieb;tochter;mindestens;einzigen;mjöllnir;seufzte;immerhin;sigislind;schritten;seite;haus;weile;worte;art;bord;thors;mantel;cedric;kampf;schatten;eindeutig;unterbrach;mühe;waffe;anderes;tot;folgte;reiter;genauso;ton;axt;bedeutete;gedanken;burg;bestätigte;heftig;wenigen;schritte;hinzu;beharrte;stelle;sattel;hafen;erschrocken;oesengard;töten;erschlagen;anscheinend;feuer;manchmal
Topic 2;sie;gesicht;abtrünnigen;boden;energiefenster;zelt;luft;energie;ehe;arena;rief;lächelte;energiespeicher;laut;jägerschule;schüler;tür;beppo;sprach;rücken;stimme;gefühl;wald;aerogleiter;magier;lehrmeister;gedanken;noja;zauber;draußen;runaren;verbindung;tumbo;schloss;tarnzauber;vermutlich;paps;paar;angriff;waffe;zuckte;jäger;überrascht;bakaris;lisantra;schienen;lachen;fliegen;augenblicklich;drückte;blick;raum;lichtung;folgte;gabe;wächter;schaltfläche;zaun;unterricht;mittlerweile;sobald;spürte;dach;camp;weißt;lehrer;trat;fühlte;meinte;stoffel;gesichtsausdruck;diesmal;ausbildung;prinzessin;entgegnete;kampf;magische;erklärte;fangen;erschien;lachte;schlug;füße;erschrocken;trenn;pmes;ferien;jägerschüler;blicke;stieß;flog;trob;schulgelände;schulter;leise;kontakt;maschine;baldurs;gingen;schlacht
Topic 3;sie;hand;mutter;kopf;paar;fest;leute;passiert;fall;ahnung;schön;weißt;hause;frau;bitte;eltern;manchmal;gesicht;minuten;problem;arme;danke;genauso;seltsam;sachen;leider;haare;meter;freundin;hals;erzählen;woher;gedacht;fertig;glaube;gefällt;atem;abend;lauter;verdammt;chance;unbedingt;liebsten;denke;blauen;nacht;leuten;baum;fragen;dunklen;händen;langen;schule;vorstellen;gefragt;zeigen;links;alleine;tränen;unglaublich;nase;egal;haaren;dunkel;vorher;thema;nämlich;leise;liebe;dunkelheit;mitte;sowieso;zimmer;froh;panik;raus;menge;warst;halten;buch;gegend;ehrlich;schlafen;kind;haus;tasche;fahren;sag;treffen;miteinander;lust;glas;bilder;sekunden;unseren;aufs;namen;vorhin;zeichen;probleme
Topic 4;es;er;wasser;vater;frau;erklärt;tante;luft;tafel;hände;heißt;fragt;fällt;gefühl;ehe;scheint;schaut;hält;meer;schwarm;land;saha;hebt;stelle;tür;lasse;höre;liegt;verstehe;graureiter;fährt;irgendwann;obwohl;seite;lacht-immer;angst;jedenfalls;boden;schwimmen;art;tut;stück;schüttelt;legt;papa;fische;carilja;zieht;kyle;könig;gehe;denken;nimmt;mache;wal;stadt;rücken;erkläre;erwidere;nicke;mittlerin;wirkt;thawte;kinn;kiemen;idee;trägt;licht;offenbar;halte;erwidert;zone;atmen;ruft;lächelt;finden;kleiner-fleck;versuche;erklären;irgendwo;jon;hört;kinder;weile;serenity;paradise;spüre;erzählt;anderes;zeigt;becken;narbe-am;fühle;schule;sitzt;gebe;mädchen;merke;schiff;lacht
Topic 5;moment;blick;kopf;sicher;richtung;gedanken;nacht;schultern;tief;näher;worte;paar;lächeln;augenblick;wasser;mädchen;länger;ernst;dachte;grund;niemals;platz;entfernt;erzählt;weile;schulter;finger;erkennen;fragen;stimme;meisten;worten;dinge;stunde;glaube;kinder;gegeben;weise;stattdessen;zuvor;stunden;sodass;halten;wagen;gefahr;junge;freund;tut;anblick;knie;geschichte;halb;gespräch;familie;name;lippen;schritte;nötig;erwartet;vater;hinaus;höhe;getroffen;unmöglich;erreicht;folgen;versuchen;verraten;geste;helfen;sohn;geschehen;schloss;gleichzeitig;art;tiefe;verloren;erinnerung;bekommen;sinn;ohnehin;sprache;genommen;hinzu;wohin;kurzen;überraschung;leid;meer;schrei;retten;gehalten;gedanke;rechts;fingern;freunde;suchen;falsch;erfahren;linken
Topic 6;sie;er;es;körper;ma’an;hand;boden;gedanken;mum;mater;rief;grace;riss;meinte;hände;stieß;gefühl;augen;fühlte;kopf;soldaten;tür;blick;rücken;addys;bennet;erklärte;erde;energie;fest;ella;schlug;herz;jack;lief;natur;wesen;pflanzen;patti;jones;elekreen;sicher;arm;sphäre;kraftwerk;naturgeist;folgte;finger;samuel;belial;atem;stolperte;männer;tränen;verlangte;geschehen;wut;schaute;geschah;spürte;tief;sullivan;schatten;gesicht;schritt;glauben;uhr;straße;deutete;panik;passiert;knie;arme;general;menschheit;wasser;umgebung;schmerz;händen;verstehen;orsett;blickte;blitze;schloss;erkennen;forderte;näher;dennoch;sprach;london;monster;waffe;junge;sphären;stürzte;verloren;atmen;erklären;stehen;bat
Topic 7;sie;es;brand;mum;kopf;tür;wasser;boot;mädchen;hexe;fischer;inseln;worte;händler;sprach;haus;karte;sicher;see;freya;feder;hand;draußen;fischhaus;elfen;nacht;dorf;finger;sprechen;brands;haut;hände;frauen;insel;carpaunen;inselreich;gesprochen;obwohl;maron;stand;kinder;rücken;holunder;gondenbergs;tangin;pessa;hafen;schaute;erzählt;silbersee;geschichte;lippen;gedanken;infried;teermeer;gesicht;anderes;colmin;mutter;gassen;faye;bruder;küste;hinunter;lichtung;längst;vogel;knochen;murmelte;grünauge;valt;goldzahns;halv;zunge;stück;zuvor;dachte;rucksack;meer;hause;boden;gekommen;olaf;folgte;jungen;gorm;fahren;teerschwester;tochter;fragen;bein;saß;gegangen;verstand;bent;fest;schienen;fühlte;zimmer;felma
Topic 8;sie;tür;soldaten;kopf;gesicht;dachte;wasser;pferd;rücken;festung;fürst;blieb;männer;stand;stehen;schultern;stimme;hand;folgte;fluss;karren;schwert;syrah;krieger;tor;blick;cascyr;gardisten;fürstin;provinzen;mellie;bemerkte;pferde;soldat;schloss;fürsten;wachen;band;gedanken;königreiche;boden;magier;lief;moment;sklaven;vater;meisten;frauen;stieß;sprach;fürstentümer;holz;mamee;norden;flerr;tohm;jonaddyn;gang;schiff;sahen;nacht;beine;anas;hetie;roch;nyrdok;krücken;antwort;kleidung;höhle;saß;hof;hafen;entfernt;armee;sand;schienen;meister;wich;vorbei;tief;könig;süden;saßen;straße;gold;offizier;nungo’was;ritt;general;worte;langen;danke;gaukler;braekor;rief;umhang;weißt;hinein;wischte
Topic 9;sie;augen;er;gesicht;stehen;tisch;laut;essen;alte;langsam;vorbei;alten;draußen;arme;namen;mund;stimme;treppe;verstehen;unten;haar;sonne;wind;fenster;stirn;finden;sprechen;mensch;raum;stein;haus;händen;gekommen;ort;verschwunden;männer;jedes;tot;hinauf;feuer;voller;schwer;straße;gefunden;still;bett;wand;leer;größer;abend;warten;alt;ruhig;glauben;lass;einzige;frei;fallen;längst;kind;hervor;flucht;gefallen;arbeit;himmel;grund;sicher;suchen;bruder;weißen;hinaus;braucht;einzigen;alter;nase;kalt;hinunter;tochter;fremden;lachen;frauen;gewusst;schlafen;geruch;schneller;dorthin;glaube;tier;kenne;dicht;sobald;bewegung;zähne;hinein;junge;gefährlich;decke;sitzen;brauchen;antworten
Topic 10;sie;es;tür;männer;mutanten;templer;gesicht;eltern;straße;wildnis;kapsel;rief;soldaten;straßenjunge;blickte;schloss;junge;licht;deutete;draußen;hinunter;revolver;inquisition;mondkaisers;gottes;mondkaiser;lucai;denning;loraldi;waffe;invitros;paris;invitro;handelte;gefühl;raum;bonasse;großinquisitor;vermutlich;inquisitor;prinz;hof;brummte;onkel;diener;tochter;kutsche;rücken;dorf;freundin;tribunalpalasts;botschafter;offenbar;befand;rasch;tribunalpalast;gardisten;danke;alex;ordun;château;diodato;lune;himmels;sternenfall;kaiser;rajaels;zimmer;adara;sturmgewehr;inquisitoren;schaute;erhob;he;beutel;francia;milan;kleid;ödland;erklärte;aurelie;factice;meter;mutter;gasse;ausgestoßenen;schwarzen;bitte;hervor;ordnung;prinzen;minister;zuckte;dennoch;gewehr;norden;jungen;murmelte;pistole;burlone
Topic 11;es;augen;vater;stand;luft;stimme;blieb;angst;fiel;moment;licht;herz;blick;sicher;starrte;obwohl;brachte;saß;fand;denken;riss;sprang;stieg;erinnerte;langsam;schob;leid;lief;gekommen;verschwand;anderes;nähe;stehen;tut;er;helfen;ruhe;lachte;stelle;seufzte;mund;kannte;beine;löste;strich;worte;bemerkte;satz;finden;lächeln;reichte;grinste;stellte;lass;genauso;wand;richtete;letzte;kraft;schoss;tauchte;wahrheit;blickte;irgendwann;art;lippen;gebracht;bekam;stirn;steckte;bewegung;hervor;vergessen;draußen;gefunden;erleichtert;schritte;sahen;bewegte;stieß;mädchen;vorsichtig;ohren;platz;schwer;gegangen;vorbei;unterbrach;unten;antwort;decke;gelassen;fing;wich;hilfe;idee;streckte;schritt;dachte;rannte
Topic 12;er;sie;es;wasser;magischen;rat;haus;magische;gesicht;wald;flu;glu;stand;stu;bu;schu;hrte;sulannia;ssen;hl;lächelte;rief;gru;dafu;akademie;fru;blu;schaute;gleichzeitig;hände;schloss;rden;bett;blase;paar;pio;cken;inzwischen;gregor;gedanken;durchgang;jolly;zimmer;clara;dachte;leonard;emma;ten;undinen;dru;see;ckte;verstand;clarissa;hause;sterte;berlin;engel;ite;ap;beru;folgte;che;himmel;wohnung;ckt;ttelte;viktor;seite;fähigkeiten;arm;erde;besaß;körper;raum;lief;leos;fenster;erklärte;geschichte;weile;zeigte;obwohl;hand;boden;elemente;verru;daru;gegenu;erhob;stellte;tief;sste;hu;zuckte;ruhig;feuer;else;elementarwesen;nacht
Topic 13;sie;könig;soldaten;es;männer;senator;drachen;bruder;schwester;sohn;da’aria;rat;aman’dur;königs;grekeas;schwert;dyrracher;mutter;blickte;golarion;dyrrach;botschafter;kampf;augen;diener;gahat;thetaeris;mondes;drache;tür;abend;senatoren;geolath;reichs;vater;therius;haus;virius;könige;anoseph;gesicht;rasch;reich;phoekia;schritt;lahrian;volk;neoremi;dennoch;rücken;vermochte;kraft;bislang;erztheurgen;jungen;tunika;frauen;schiff;theurgen;elea;geist;sidhari;rief;dorf;erhob;tot;quanish;see;götter;kamenor;neigte;obwohl;soldat;thron;meer;euer;königsgarde;aura;gahats;arastoths;cordurische;deutete;bourabas;stets;castano;sechsgötter;evolos;junge;gefühl;cordurs;palast;borde;tochter;anielle;fischer;vermutlich;sklaven;aspheon;schiffe;kutsche
Topic 14;sie;quelle;feuer;tür;gesicht;kopf;nebel;finger;blick;gedanken;hände;träume;körper;augen;hand;rücken;fühlte;spürte;drückte;gefühl;queen;alben;brust;tief;zuckte;london;luft;rief;lachte;sphären;mum;magier;lächelte;vermutlich;herz;mutter;schultern;richtung;zimmer;traum;schließen;brauchte;arme;annabelle;folgte;egal;sprach;lippen;handy;bitte;arm;haut;deutete;vollkommen;schloss;flüsterte;atmete;holte;boden;albträume;schluckte;rieb;atem;verstand;nase;haare;blinzelte;sphäre;murmelte;vy;träumen;bauch;shakespeare;panik;grün;geld;raum;tränen;locken;zeigte;edward;heiß;drang;declans;schulter;augenbrauen;erklärte;lehnte;illuminieren;magiegeborene;wand;cave;hob;hals;fluss;kontrolle;lemington;nah;zuvor;londons
